https://www.laptopsdirect.co.uk//lenovo-tab-10.1-luna-gray-128gb-wi-fi-tablet-zaek0012gb/version.asp	"Lenovo Tab 10.1"" Luna Gray 128GB Wi-Fi Tablet"	£129.00	Helio G85	128GB	4GB	Android	10.1Inch	1920 x 1200pixels	1cm	8MP	Grey
https://www.laptopsdirect.co.uk//samsung-galaxy-tab-a9-11-graphite-128gb-5g-tablet-sm-x216bzaeeub/version.asp	"Samsung Galaxy Tab A9+ 11"" Graphite 128GB 5G Tablet"	£249.00	Snapdragon 695	128GB	8GB	Android	11Inch	1920 x 1200	17cm	8MP	Graphite
https://www.laptopsdirect.co.uk//refurbished-new-apple-ipad-2019-wifi-32gb-10.2-i-nch-tablet-space-grey-a3-mw742b-a/version.asp	Refurbished Apple iPad 2019 WiFi + 32GB 10.2 Inch Tablet - Space Grey	£119.97	A10 Fusion	32GB	2GB	N/A	10.2	2160 x 1620	26cm	N/A	Grey
https://www.laptopsdirect.co.uk//apple-ipad-2025-11-pink-128gb-wi-fi-tablet-md4e4kn-a/version.asp	"Apple iPad 2025 11"" Pink 128GB Wi-Fi Tablet"	£309.97	Apple A16 Chip	128GB	4GB	iPadOS 18	11 Inches	2360 x 1640pixels	25cm	12MP	Pink
https://www.laptopsdirect.co.uk//apple-ipad-2025-11-silver-256gb-wi-fi-tablet-md4g4kn-a/version.asp	"Apple iPad 2025 11"" Silver 256GB Wi-Fi Tablet"	£404.97	Apple A16 Chip	256GB	4GB	iPadOS 18	11 Inches	2360 x 1640pixels	25cm	12MP	Silver
https://www.laptopsdirect.co.uk//apple-ipad-2025-11-blue-128gb-cellular-tablet-md7g4kn-a/version.asp	"Apple iPad 2025 11"" Blue 128GB Cellular Tablet"	£459.97	Apple A16 Chip	128GB	4GB	iPadOS 18	11 Inches	2360 x 1640pixels	25cm	12MP	Blue
https://www.laptopsdirect.co.uk//apple-ipad-2025-11-pink-128gb-cellular-tablet-md7j4kn-a/version.asp	"Apple iPad 2025 11"" Pink 128GB Wi-Fi & Cellular Tablet"	£449.97	Apple A16 Chip	128GB	4GB	iPadOS 18	11Inch	2360 x 1640pixels	25cm	12MP	Pink
https://www.laptopsdirect.co.uk//tcl-tab-10-gen-2-space-gray-10.36-64gb-4g-tablet-8196g-2clcgb11/version.asp	"TCL TAB 10 Gen 2 Space Gray 10"" 64GB Wi-Fi & Cellular Tablet"	£119.00	Helio P22T	64GB	4GB	Android	10Inch	2000 x 1200	16cm	8MP	Grey
https://www.laptopsdirect.co.uk//samsung-galaxy-tab-s6-lite-2024-10.4-grey-128gb-wifi-tablet-sm-p620nzaeeub/version.asp	"Samsung Galaxy Tab S6 Lite 2024 10.4"" Oxford Grey 128GB Wi-Fi Tablet"	£232.97	N/A	128GB	4GB	N/A	10.4Inch	2000 x 1200	25cm	8MP	Grey
https://www.laptopsdirect.co.uk//lenovo-tab-k11-plus-11-luna-grey-256gb-wi-fi-tablet-zads0035gb/version.asp	"Lenovo Tab K11 Plus 11"" Luna Grey 256GB Wi-Fi Tablet"	£277.16	Snapdragon 680	256GB	8GB	Android 14	11Inch	2000 x 1200	1cm	13MP	Grey
https://www.laptopsdirect.co.uk//acer-iconia-m10-11-10.1-champagne-128gb-wifi-tablet-nt.lfuee.001/version.asp	"Acer Iconia M10-11 10.1"" Grey 128GB Wi-Fi Tablet"	£98.36	Kompanio 500	128GB	4GB	Android	10.1Inch	1920 x 1200	1cm	8MP	Champagne
https://www.laptopsdirect.co.uk//samsung-galaxy-tab-s10-12.4-moonstone-grey-256gb-5g-tablet-sm-x826bzareub/version.asp	"Samsung Galaxy Tab S10+ 12.4"" Moonstone Grey 256GB Cellular Tablet"	£873.97	Dimensity 9300+	256GB	12GB	Android	12.4Inch	2800 x 1752	19cm	13MP	Grey
https://www.laptopsdirect.co.uk//samsung-galaxy-tab-s7-lite-128gb-12.4-tablet-light-pink-sm-t736blieeua/version.asp	"Samsung Galaxy Tab S7 FE 12.4"" Pink 128GB Cellular Tablet"	£454.97	Snapdragon 750G	128GB	6GB	Android	12.4Inch	2560 x 1600	19cm	8MP	Pink
https://www.laptopsdirect.co.uk//-9309x1-2aalgb2/version.asp	"Alcatel Tablet 1T7 7"" Black 32GB Wi-Fi Tablet"	£54.97	MTK8321	32GB	1GB	Android	7Inch	600 x 1024pixels	19cm	2MP	Black
https://www.laptopsdirect.co.uk//apple-ipad-2025-11-yellow-128gb-cellular-tablet-md7h4kn-a/version.asp	"Apple iPad 2025 11"" Yellow 128GB Cellular Tablet"	£449.97	Apple A16 Chip	128GB	4GB	iPadOS 18	11 Inches	2360 x 1640pixels	25cm	12MP	Yellow
https://www.laptopsdirect.co.uk//apple-ipad-2025-11-pink-256gb-cellular-tablet-md7n4kn-a/version.asp	"Apple iPad 2025 11"" Pink 256GB Cellular Tablet"	£544.97	Apple A16 Chip	256GB	4GB	iPadOS 18	11 Inches	2360 x 1640pixels	25cm	12MP	Pink
https://www.laptopsdirect.co.uk//samsung-galaxy-tab-active5-pro-5g-10.1-black-256gb-5g-tablet-sm-x356bzgeeeb/version.asp	"Samsung Galaxy Tab Active5 Pro 5G 10.1"" Black 256GB Wi-Fi & Cellular Tablet"	£749.00	Snapdragon 7s Gen 3	256GB	8GB	Android	10.1Inch	1920 x 1200pixels	17cm	12MP	Green
https://www.laptopsdirect.co.uk//samsung-galaxy-tab-a11-8.7-grey-64gb-wi-fi-tablet-sm-x130nzaaeub/version.asp	"Samsung Galaxy Tab A11 8.7"" Grey 64GB Wi-Fi Tablet"	£139.00	Octa Core	64GB	4GB	Android 15	8.7 Inches	1340 x 800pixels	22cm	8MP	Grey
https://www.laptopsdirect.co.uk//apple-ipad-2025-11-blue-256gb-cellular-tablet-md7l4kn-a/version.asp	"Apple iPad 2025 11"" Blue 256GB Cellular Tablet"	£547.97	Apple A16 Chip	256GB	4GB	iPadOS 18	11 Inches	2360 x 1640pixels	25cm	12MP	Blue
https://www.laptopsdirect.co.uk//apple-ipad-2025-11-yellow-128gb-wi-fi-tablet-md4d4kn-a/version.asp	"Apple iPad 2025 11"" Yellow 128GB Wi-Fi Tablet"	£309.97	Apple A16 Chip	128GB	4GB	iPadOS 18	11Inch	2360 x 1640pixels	25cm	12MP	Yellow
